calendar_year,city,state,closed_date,amount_awarded
2013.0,Philadelphia,PA,2013-05-17,20000.0
2013.0,Philadelphia,PA,2013-05-22,37500.0
2013.0,Philadelphia,PA,2013-05-29,13500.0
2013.0,Philadelphia,PA,2013-06-04,63000.0
2013.0,Philadelphia,PA,2013-06-05,50000.0
2013.0,Philadelphia,PA,2013-06-07,30000.0
2013.0,Philadelphia,PA,2013-06-10,160000.0
2013.0,Philadelphia,PA,2013-06-10,50000.0
2013.0,Philadelphia,PA,2013-06-10,187500.0
2013.0,Philadelphia,PA,2013-06-10,85000.0
2013.0,Philadelphia,PA,2013-06-12,20000.0
2013.0,Philadelphia,PA,2013-06-13,21500.0
2013.0,Philadelphia,PA,2013-06-13,375000.0
2013.0,Philadelphia,PA,2013-06-17,27500.0
2013.0,Philadelphia,PA,2013-06-21,20000.0
2013.0,Philadelphia,PA,2013-06-21,75000.0
2013.0,Philadelphia,PA,2013-06-24,2000000.0
2013.0,Philadelphia,PA,2013-06-28,18500.0
2013.0,Philadelphia,PA,2013-07-08,30000.0
2013.0,Philadelphia,PA,2013-07-08,17250.0
2013.0,Philadelphia,PA,2013-07-08,17500.0
2013.0,Philadelphia,PA,2013-07-17,10000.0
2013.0,Philadelphia,PA,2013-07-26,85000.0
2013.0,Philadelphia,PA,2013-07-29,25000.0
2013.0,Philadelphia,PA,2013-07-31,5000.0
2013.0,Philadelphia,PA,2013-08-01,2500.0
2013.0,Philadelphia,PA,2013-08-08,750.0
2013.0,Philadelphia,PA,2013-08-16,3350.0
2013.0,Philadelphia,PA,2013-08-19,3500.0
2013.0,Philadelphia,PA,2013-08-19,7500.0
2013.0,Philadelphia,PA,2013-08-20,50000.0
2013.0,Philadelphia,PA,2013-08-21,850000.0
2013.0,Philadelphia,PA,2013-08-27,12500.0
2013.0,Philadelphia,PA,2013-08-29,40000.0
2013.0,Philadelphia,PA,2013-08-30,25000.0
2013.0,Philadelphia,PA,2013-09-05,30000.0
2013.0,Philadelphia,PA,2013-09-09,15000.0
2013.0,Philadelphia,PA,2013-09-10,1900.0
2013.0,Philadelphia,PA,2013-09-10,3500.0
2013.0,Philadelphia,PA,2013-09-17,50000.0
2013.0,Philadelphia,PA,2013-09-19,25000.0
2013.0,Philadelphia,PA,2013-09-20,5000.0
2013.0,Philadelphia,PA,2013-09-23,87500.0
2013.0,Philadelphia,PA,2013-09-24,1250000.0
2013.0,Philadelphia,PA,2013-09-30,75000.0
2013.0,Philadelphia,PA,2013-09-30,7500.0
2013.0,Philadelphia,PA,2013-09-30,30000.0
2013.0,Philadelphia,PA,2013-10-01,10000.0
2013.0,Philadelphia,PA,2013-10-01,50000.0
2013.0,Philadelphia,PA,2013-10-01,90000.0
2013.0,Philadelphia,PA,2013-10-08,10000.0
2013.0,Philadelphia,PA,2013-10-09,12500.0
2013.0,Philadelphia,PA,2013-10-09,75000.0
2013.0,Philadelphia,PA,2013-10-09,45000.0
2013.0,Philadelphia,PA,2013-10-10,6500.0
2013.0,Philadelphia,PA,2013-10-16,8500.0
2013.0,Philadelphia,PA,2013-10-16,5000.0
2013.0,Philadelphia,PA,2013-10-18,20622.42
2013.0,Philadelphia,PA,2013-10-22,25000.0
2013.0,Philadelphia,PA,2013-10-23,160000.0
2013.0,Philadelphia,PA,2013-10-29,35000.0
2013.0,Philadelphia,PA,2013-10-29,7500.0
2013.0,Philadelphia,PA,2013-11-07,35000.0
2013.0,Philadelphia,PA,2013-11-07,10000.0
2013.0,Philadelphia,PA,2013-11-07,4000.0
2013.0,Philadelphia,PA,2013-11-12,140000.0
2013.0,Philadelphia,PA,2013-11-12,650000.0
2013.0,Philadelphia,PA,2013-11-12,45000.0
2013.0,Philadelphia,PA,2013-11-15,37000.0
2013.0,Philadelphia,PA,2013-11-25,60000.0
